annotation_id	source
0	B-CLL_00_Grid3_c0016
1	B-CLL_00_Grid3_c0081
2	B-CLL_00_Grid3_c0117
3	B-CLL_00_Grid3_c0132
4	B-CLL_00_Grid3_c0144
5	B-CLL_00_Grid3_c0165
6	B-CLL_00_Grid3_c0178
7	B-CLL_00_Grid3_c0240
8	B-CLL_00_Grid3_c0283
9	B-CLL_00_Grid3_c0326
10	B-CLL_00_Grid3_c0330
11	B-CLL_00_Grid3_c0398
12	B-CLL_00_Grid3_c0399
13	B-CLL_00_Grid3_c0511
14	B-CLL_00_Grid3_c0547
15	B-CLL_00_Grid3_c0594
16	B-CLL_00_Grid3_c0652
17	B-CLL_00_Grid3_c0704
18	B-CLL_00_Grid3_c0727
19	B-CLL_00_Grid3_c0801
20	B-CLL_00_Grid3_c1026
21	B-CLL_00_Grid3_c1027
22	B-CLL_00_Grid3_c1031
23	B-CLL_00_Grid3_c1032
24	B-CLL_00_Grid3_c1059
25	B-CLL_00_Grid3_c1062
26	B-CLL_00_Grid3_c1063
27	B-CLL_00_Grid3_c1092
28	B-CLL_00_Grid3_c1116
29	B-CLL_01_Grid2_c014
30	B-CLL_01_Grid2_c043
31	B-CLL_01_Grid2_c071
32	B-CLL_01_Grid2_c090
33	B-CLL_01_Grid2_c094
34	B-CLL_01_Grid2_c112
35	B-CLL_01_Grid2_c113
36	B-CLL_01_Grid2_c130
37	B-CLL_01_Grid2_c133
38	B-CLL_01_Grid2_c138
39	B-CLL_01_Grid2_c141
40	B-CLL_01_Grid2_c176
41	B-CLL_01_Grid2_c182
42	B-CLL_01_Grid2_c227
43	B-CLL_01_Grid2_c242
44	B-CLL_01_Grid2_c301
45	B-CLL_01_Grid2_c345
46	B-CLL_01_Grid2_c348
47	B-CLL_01_Grid2_c371
48	B-CLL_01_Grid2_c415
49	B-CLL_01_Grid2_c428
50	B-CLL_01_Grid2_c554
51	B-CLL_01_Grid2_c575
52	B-CLL_01_Grid2_c603
53	B-CLL_01_Grid2_c633
54	B-CLL_01_Grid2_c634
55	B-CLL_01_Grid2_c678
56	B-CLL_01_Grid2_c687
57	B-CLL_01_Grid2_c695
58	B-CLL_01_Grid2_c724
59	B-CLL_01_Grid2_c729
60	B-CLL_01_Grid2_c763
61	B-CLL_01_Grid2_c779
62	B-CLL_01_Grid2_c785
