annotation_id	source
0	SM_00_Grid2_c023_c1_crop
1	SM_00_Grid2_c055_c1_crop
2	SM_00_Grid2_c055_c2_crop
3	SM_00_Grid2_c068_c1_crop
4	SM_00_Grid2_c068_c2_crop
5	SM_00_Grid2_c075_c1_crop
6	SM_00_Grid2_c075_c2_crop
7	SM_00_Grid2_c104_c1_crop
8	SM_00_Grid2_c108_c1_crop
9	SM_00_Grid2_c116_c1_crop
10	SM_00_Grid2_c161_c1_crop
11	SM_00_Grid2_c161_c2_crop
12	SM_00_Grid2_c166_c1_crop
13	SM_00_Grid2_c166_c2_crop
14	SM_00_Grid2_c169_c1_crop
15	SM_00_Grid2_c169_c2_crop
16	SM_00_Grid2_c182_c1_crop
17	SM_00_Grid2_c193_c1_crop
18	SM_00_Grid2_c193_c2_crop
19	SM_00_Grid2_c206_c1_crop
20	SM_00_Grid2_c206_c2_crop
21	SM_00_Grid2_c221_c1_crop
22	SM_00_Grid2_c221_c2_crop
23	SM_00_Grid2_c275_c1_crop
24	SM_00_Grid2_c275_c2_crop
25	SM_00_Grid2_c290_c1_crop
26	SM_00_Grid2_c290_c2_crop
27	SM_00_Grid2_c292_c1_crop
28	SM_00_Grid2_c292_c2_crop
29	SM_00_Grid2_c314_c1_crop
30	SM_00_Grid2_c314_c2_crop
31	SM_00_Grid2_c329_c1_crop
32	SM_00_Grid2_c329_c2_crop
33	SM_00_Grid2_c351_c1_crop
34	SM_00_Grid2_c366_c1_crop
35	SM_00_Grid2_c374_c1_crop
36	SM_00_Grid2_c374_c2_crop
37	SM_00_Grid2_c424_c1_crop
38	SM_00_Grid2_c424_c2_crop
39	SM_00_Grid2_c432_c1_crop
40	SM_00_Grid2_c432_c2_crop
41	SM_00_Grid2_c457_c1_crop
42	SM_00_Grid2_c472_c1_crop
43	SM_00_Grid2_c472_c2_crop
44	SM_00_Grid2_c476_c1_crop
45	SM_00_Grid2_c476_c2_crop
46	SM_00_Grid2_c487_c1_crop
47	SM_00_Grid2_c487_c2_crop
48	SM_00_Grid2_c489_c1_crop
49	SM_00_Grid2_c489_c2_crop
50	SM_00_Grid2_c503_c1_crop
51	SM_00_Grid2_c503_c2_crop
52	SM_00_Grid2_c532_c1_crop
53	SM_00_Grid2_c552_c1_crop
54	SM_00_Grid2_c552_c2_crop
55	SM_01_Grid4_c044_c1_crop
56	SM_01_Grid4_c066_c1_crop
57	SM_01_Grid4_c094_c1_crop
58	SM_01_Grid4_c094_c2_crop
59	SM_01_Grid4_c098_c1_crop
60	SM_01_Grid4_c116_c1_crop
61	SM_01_Grid4_c117_c1_crop
62	SM_01_Grid4_c132_c1_crop
63	SM_01_Grid4_c132_c2_crop
64	SM_01_Grid4_c148_c1_crop
65	SM_01_Grid4_c218_c1_crop
66	SM_01_Grid4_c226_c1_crop
67	SM_01_Grid4_c229_c1_crop
68	SM_01_Grid4_c229_c2_crop
69	SM_01_Grid4_c260_c1_crop
70	SM_01_Grid4_c266_c1_crop
71	SM_01_Grid4_c266_c2_crop
72	SM_01_Grid4_c286_c1_crop
73	SM_01_Grid4_c286_c2_crop
74	SM_01_Grid5_c001_c1_crop
75	SM_01_Grid5_c001_c2_crop
76	SM_01_Grid5_c020_c1_crop
77	SM_01_Grid5_c020_c2_crop
78	SM_01_Grid5_c041_c1_crop
79	SM_01_Grid5_c041_c2_crop
80	SM_01_Grid5_c075_c1_crop
81	SM_01_Grid5_c075_c2_crop
82	SM_01_Grid5_c150_c1_crop
83	SM_01_Grid5_c150_c2_crop
84	SM_01_Grid5_c166_c1_crop
85	SM_01_Grid5_c166_c2_crop
86	SM_01_Grid5_c168_c1_crop
87	SM_01_Grid5_c168_c2_crop
88	SM_01_Grid5_c222_c1_crop
89	SM_01_Grid5_c222_c2_crop
90	SM_01_Grid5_c238_c1_crop
91	SM_01_Grid5_c238_c2_crop
92	SM_01_Grid5_c266_c1_crop
93	SM_01_Grid5_c266_c2_crop
94	SM_01_Grid5_c281_c1_crop
95	SM_01_Grid5_c281_c2_crop
96	SM_01_Grid5_c281_c3_crop
97	SM_01_Grid5_c281_c4_crop
98	SM_01_Grid5_c289_c1_crop
99	SM_01_Grid5_c293_c1_crop
100	SM_01_Grid5_c293_c2_crop
101	SM_01_Grid5_c320_c1_crop
102	SM_01_Grid5_c320_c2_crop
103	SM_02_Grid2_c014_c1_crop
104	SM_02_Grid2_c014_c2_crop
105	SM_02_Grid2_c032_c1_crop
106	SM_02_Grid2_c032_c2_crop
107	SM_02_Grid2_c039_c1_crop
108	SM_02_Grid2_c076_c1_crop
109	SM_02_Grid2_c076_c2_crop
110	SM_02_Grid2_c091_c1_crop
111	SM_02_Grid2_c091_c2_crop
112	SM_02_Grid2_c096_c1_crop
113	SM_02_Grid2_c096_c2_crop
114	SM_02_Grid2_c124_c1_crop
115	SM_02_Grid2_c124_c2_crop
116	SM_02_Grid2_c141_c1_crop
117	SM_02_Grid2_c141_c2_crop
118	SM_02_Grid2_c150_c1_crop
119	SM_02_Grid2_c150_c2_crop
120	SM_02_Grid2_c157_c1_crop
121	SM_02_Grid2_c159_c1_crop
122	SM_02_Grid2_c171_c1_crop
123	SM_02_Grid2_c171_c2_crop
124	SM_02_Grid2_c180_c1_crop
125	SM_02_Grid2_c180_c2_crop
126	SM_02_Grid2_c183_c1_crop
127	SM_02_Grid2_c183_c2_crop
